"R0000100","R0173600","R0214700","R0214800","T3200700","T3212900","T3976200","T4045802"
141,5,3,2,1,16,1,31700
142,1,3,1,7,12,1,-3
143,5,3,2,-5,-5,-5,-5
144,5,3,2,7,12,0,131700
145,1,3,1,7,12,1,0
146,1,3,1,11,12,1,29400
147,5,3,2,1,12,1,616000
148,1,3,1,1,12,1,112500
149,5,3,2,1,12,1,125000
150,1,3,1,7,12,0,89100
151,5,3,2,-5,-5,-5,-5
152,5,3,2,10,14,1,1515397
153,5,3,2,10,12,0,18800
154,5,3,2,-5,-5,-5,-5
155,1,3,1,7,12,1,-3
156,1,3,1,7,11,0,-3
157,5,3,2,11,20,1,395000
158,5,3,2,7,18,1,745000
159,5,3,2,-5,-5,-5,-5
160,5,3,2,9,14,1,304500
161,5,3,2,1,12,1,-3
162,1,3,1,-5,-5,-5,-5
163,1,3,1,-5,-5,-5,-5
164,5,3,2,7,12,1,417800
165,5,3,2,7,12,1,201000
166,1,3,1,10,14,1,884109
167,5,3,2,-5,-5,-5,-5
168,3,2,1,2,12,1,0
169,7,2,2,2,12,0,0
170,5,3,2,-5,-5,-5,-5
171,1,3,1,10,16,1,3749941
172,6,3,2,7,9,0,60
173,1,3,1,-5,-5,-5,-5
174,8,1,2,11,13,1,269000
175,5,3,2,8,14,1,381020
176,5,3,2,-5,-5,-5,-5
177,1,3,1,-5,-5,-5,-5
178,1,3,1,7,16,1,583109
179,5,3,2,7,12,1,440500
180,5,3,2,-5,-5,-5,-5
181,1,3,1,8,14,1,632000
182,1,3,1,10,12,0,250
183,5,3,2,-5,-5,-5,-5
184,5,3,2,7,16,1,1553038
185,1,3,1,4,12,1,18500
186,5,3,2,7,14,1,254775
187,1,3,1,-5,-5,-5,-5
188,5,3,2,5,10,0,0
189,1,3,1,3,16,1,3749941
190,5,3,2,10,18,1,1449288
191,1,3,1,10,20,1,1470288
192,5,3,2,7,16,1,-3
193,1,3,1,7,16,1,857076
194,1,3,1,-5,-5,-5,-5
195,1,3,1,7,18,1,169200
196,1,3,1,-5,-5,-5,-5
197,5,3,2,7,12,1,-103
198,1,3,1,1,18,1,543000
199,1,3,1,7,12,0,1000
200,5,3,2,7,12,0,488900
201,1,3,1,7,16,1,1947047
202,1,3,1,10,14,1,13300
203,8,1,2,-5,-5,-5,-5
204,8,1,2,7,12,0,-20000
205,8,1,2,7,12,0,-3
206,1,3,1,-5,-5,-5,-5
207,1,3,1,-5,-5,-5,-5
208,6,3,2,-5,-5,-5,-5
209,1,3,1,-5,-5,-5,-5
210,1,3,1,7,16,1,704500
211,5,3,2,7,16,1,588500
212,1,3,1,7,12,1,600500
213,1,3,1,-5,-5,-5,-5
214,1,3,1,7,15,1,583200
215,1,3,1,-5,-5,-5,-5
216,5,3,2,-5,-5,-5,-5
217,1,3,1,-5,-5,-5,-5
218,1,3,1,8,16,1,1930021
219,5,3,2,3,20,1,1420109
220,5,3,2,11,19,1,625000
221,7,2,2,5,7,0,38140
222,3,2,1,2,9,1,0
223,3,2,1,5,10,1,21000
224,7,2,2,5,12,0,4800
225,4,1,1,-5,-5,-5,-5
226,4,1,1,-5,-5,-5,-5
227,7,2,2,11,12,0,-3
228,8,1,2,9,10,0,0
229,5,3,2,7,11,1,-3
230,1,3,1,7,14,0,729500
231,5,3,2,7,12,1,240000
232,1,3,1,7,14,1,85000
233,1,3,1,7,12,1,12000
234,2,3,1,10,10,0,1669386
235,1,3,1,11,15,0,979100
236,5,3,2,7,14,0,145000
237,5,3,2,8,11,0,3500
238,6,3,2,-5,-5,-5,-5
239,6,3,2,1,11,1,47572
240,6,3,2,1,12,1,136000
241,2,3,1,-5,-5,-5,-5
242,5,3,2,4,12,1,1916000
243,1,3,1,10,12,1,-3
244,5,3,2,5,12,1,270100
245,5,3,2,7,14,1,-3
246,1,3,1,-5,-5,-5,-5
247,2,3,1,5,19,1,850500
248,2,3,1,11,12,1,-21000
249,6,3,2,2,14,1,172000
250,5,3,2,11,12,1,97500
251,2,3,1,5,12,1,-52671
252,6,3,2,11,12,1,10200
253,1,3,1,7,11,1,-23572
254,5,3,2,7,12,1,180400
255,5,3,2,7,12,1,575800
256,5,3,2,10,12,1,600
257,1,3,1,11,12,1,0
258,5,3,2,11,14,0,207300
259,1,3,1,7,12,0,16600
260,1,3,1,10,16,1,672800
261,1,3,1,4,12,1,-3
262,5,3,2,-5,-5,-5,-5
263,1,3,1,-5,-5,-5,-5
264,5,3,2,-5,-5,-5,-5
265,5,3,2,7,16,1,-145800
266,2,3,1,-5,-5,-5,-5
267,1,3,1,11,12,0,0
268,1,3,1,7,12,0,-21980
269,2,3,1,7,16,1,2047288
270,1,3,1,-5,-5,-5,-5
271,5,3,2,-5,-5,-5,-5
272,5,3,2,7,16,1,1114150
273,1,3,1,7,14,1,48900
274,2,3,1,7,13,1,-3
275,6,3,2,7,14,1,-3
276,5,3,2,-5,-5,-5,-5
277,1,3,1,7,12,1,5500
278,5,3,2,-5,-5,-5,-5
279,1,3,1,-5,-5,-5,-5
280,5,3,2,-5,-5,-5,-5
281,1,3,1,7,18,1,1449729
282,5,3,2,12,16,1,168500
283,4,1,1,7,11,1,51445
284,4,1,1,4,14,0,277000
285,8,1,2,10,10,0,-3
286,8,1,2,9,14,1,124533
287,5,3,2,-5,-5,-5,-5
288,5,3,2,7,12,1,-2000
289,5,3,2,7,12,1,-50771
290,8,1,2,7,11,0,245000
291,3,2,1,10,12,0,0
292,5,3,2,1,20,1,198000
293,5,3,2,7,13,1,171000
294,5,3,2,1,12,1,-3
295,1,3,1,-5,-5,-5,-5
296,1,3,1,-5,-5,-5,-5
297,5,3,2,3,12,0,-3
298,8,1,2,-5,-5,-5,-5
299,4,1,1,7,11,1,0
300,4,1,1,-5,-5,-5,-5
301,4,1,1,1,12,0,79500
302,4,1,1,7,12,0,8000
303,4,1,1,10,12,0,4000
304,4,1,1,9,11,0,0
305,8,1,2,7,12,1,-3
306,3,2,1,2,12,0,800
307,5,3,2,7,12,1,107700
308,1,3,1,1,12,1,-3
309,1,3,1,-5,-5,-5,-5
310,1,3,1,10,12,0,202500
311,1,3,1,7,12,1,157000
312,5,3,2,7,16,0,-3
313,1,3,1,10,11,1,6000
314,5,3,2,7,14,1,39000
315,1,3,1,-5,-5,-5,-5
316,1,3,1,6,10,0,2200
317,1,3,1,10,16,1,408500
318,1,3,1,-5,-5,-5,-5
319,5,3,2,10,18,1,-3
320,1,3,1,7,15,1,3749941
321,5,3,2,-5,-5,-5,-5
322,5,3,2,5,16,1,3749941
323,1,3,1,7,12,1,-3
324,1,3,1,7,9,0,0
325,1,3,1,-5,-5,-5,-5
326,5,3,2,-5,-5,-5,-5
327,5,3,2,-5,-5,-5,-5
328,4,1,1,-5,-5,-5,-5
329,4,1,1,-5,-5,-5,-5
330,4,1,1,-5,-5,-5,-5
331,4,1,1,7,12,0,-9200
332,4,1,1,11,10,1,0
333,7,2,2,2,12,1,229000
334,3,2,1,-5,-5,-5,-5
335,7,2,2,9,15,1,-49900
336,3,2,1,11,12,1,59000
337,3,2,1,11,12,0,0
338,7,2,2,-5,-5,-5,-5
339,7,2,2,2,11,1,0
340,7,2,2,7,15,1,-3
341,5,3,2,-5,-5,-5,-5
342,1,3,1,6,18,1,300000
343,7,2,2,7,10,0,33500
344,5,3,2,1,17,0,332000
345,7,2,2,-5,-5,-5,-5
346,1,3,1,7,16,0,-3
347,5,3,2,-5,-5,-5,-5
348,1,3,1,-5,-5,-5,-5
349,1,3,1,-5,-5,-5,-5
350,1,3,1,7,16,1,53800
351,1,3,1,7,14,1,625000
352,5,3,2,7,14,0,817500
353,1,3,1,-5,-5,-5,-5
354,5,3,2,7,12,1,-3
355,1,3,1,7,13,0,440300
356,1,3,1,7,12,0,1183000
357,1,3,1,7,16,1,885000
358,1,3,1,7,16,1,1538329
359,5,3,2,-5,-5,-5,-5
360,5,3,2,10,18,0,1574000
361,1,3,1,-5,-5,-5,-5
362,1,3,1,9,12,0,256100
363,5,3,2,10,12,1,1000
364,1,3,1,7,16,1,820000
365,5,3,2,7,14,1,-3
366,1,3,1,-5,-5,-5,-5
367,5,3,2,6,16,1,97000
368,7,2,2,2,18,0,5700
369,5,3,2,6,16,1,-3
370,5,3,2,6,16,1,495000
371,5,3,2,-5,-5,-5,-5
372,1,3,1,10,18,1,-3
373,5,3,2,9,12,0,10700
374,5,3,2,-5,-5,-5,-5
375,1,3,1,-5,-5,-5,-5
376,2,3,1,7,18,1,-78000
377,3,2,1,5,11,1,0
378,3,2,1,5,11,0,900
379,7,2,2,5,9,0,-900
380,3,2,1,2,11,0,360
381,3,2,1,2,12,0,250000
382,7,2,2,2,12,1,13750
383,3,2,1,-5,-5,-5,-5
384,3,2,1,-5,-5,-5,-5
385,7,2,2,9,12,0,143000
386,7,2,2,9,12,0,-3
387,3,2,1,11,12,1,0
388,7,2,2,7,15,1,29900
389,5,3,2,-5,-5,-5,-5
390,7,2,2,-5,-5,-5,-5
391,7,2,2,12,12,0,20500
392,1,3,1,5,12,0,-3
393,1,3,1,10,14,1,649500
394,3,2,1,2,11,0,0
395,7,2,2,12,14,0,-30900
396,3,2,1,2,11,0,0
397,7,2,2,-5,-5,-5,-5
398,3,2,1,10,10,0,599
399,5,3,2,7,17,1,90729
400,5,3,2,7,16,1,730000
401,5,3,2,3,12,1,183000
402,5,3,2,1,12,1,-4900
403,1,3,1,10,7,0,106500
404,1,3,1,-5,-5,-5,-5
405,5,3,2,10,14,0,11000
406,1,3,1,2,14,0,-20950
407,5,3,2,7,18,1,1131000
408,1,3,1,7,12,1,401000
409,2,3,1,1,16,1,29929
410,1,3,1,10,12,1,-87288
411,1,3,1,11,10,0,130200
412,1,3,1,11,14,0,-3
413,1,3,1,-5,-5,-5,-5
414,5,3,2,7,14,1,-3
415,1,3,1,5,10,0,181700
416,5,3,2,7,18,0,-3
417,1,3,1,7,13,1,184000
418,5,3,2,7,13,1,92000
419,1,3,1,10,12,1,41000
420,1,3,1,10,16,1,23000
421,1,3,1,-5,-5,-5,-5
422,1,3,1,8,19,1,-3
423,5,3,2,8,17,1,-3
424,1,3,1,-5,-5,-5,-5
425,5,3,2,7,12,1,-5900
426,4,1,1,7,12,1,474000
427,5,3,2,-5,-5,-5,-5
428,5,3,2,-5,-5,-5,-5
429,1,3,1,-5,-5,-5,-5
430,1,3,1,-5,-5,-5,-5
431,5,3,2,9,14,1,41500
432,1,3,1,-5,-5,-5,-5
433,1,3,1,-5,-5,-5,-5
434,1,3,1,4,12,0,189400
435,1,3,1,-5,-5,-5,-5
436,5,3,2,4,12,1,62400
437,5,3,2,4,12,0,394880
438,6,3,2,11,12,1,-18500
439,5,3,2,1,16,0,303000
440,1,3,1,-5,-5,-5,-5
441,1,3,1,-5,-5,-5,-5
442,5,3,2,1,12,0,477136
443,1,3,1,4,14,1,395000
444,5,3,2,1,16,0,-3271
445,1,3,1,10,16,1,500800
446,6,3,2,-5,-5,-5,-5
447,1,3,1,-5,-5,-5,-5
448,1,3,1,-5,-5,-5,-5
449,5,3,2,11,12,1,-3
450,1,3,1,-5,-5,-5,-5
451,1,3,1,-5,-5,-5,-5
452,6,3,2,9,18,1,142300
453,1,3,1,-5,-5,-5,-5
454,5,3,2,-5,-5,-5,-5
455,5,3,2,11,19,1,-3
456,1,3,1,4,18,1,316000
457,1,3,1,4,16,1,199000
458,5,3,2,7,18,0,553729
459,5,3,2,5,20,1,-3
460,5,3,2,7,15,0,174500
461,1,3,1,1,16,1,191000
462,5,3,2,7,18,1,429000
463,1,3,1,-5,-5,-5,-5
464,1,3,1,4,14,1,1953000
465,5,3,2,7,12,1,437500
466,1,3,1,10,16,1,76600
467,5,3,2,10,16,1,-3
468,1,3,1,9,16,1,1263929
469,4,1,1,2,13,0,2952
470,2,3,1,7,11,1,0
471,5,3,2,7,12,0,252000
472,5,3,2,7,11,0,100500
473,1,3,1,7,12,0,3000
474,5,3,2,7,12,1,-28000
475,5,3,2,10,12,0,4200
476,5,3,2,1,12,0,16700
477,1,3,1,12,12,0,100000
478,6,3,2,1,12,0,249000
479,1,3,1,7,16,0,-6500
480,1,3,1,10,19,1,561000
481,1,3,1,11,19,1,1334729
482,1,3,1,12,16,1,3749941
483,1,3,1,5,12,0,862200
484,1,3,1,12,12,0,57500
485,5,3,2,7,12,1,257800
486,1,3,1,7,12,1,2015000
487,5,3,2,-5,-5,-5,-5
488,1,3,1,7,13,0,54500
489,1,3,1,10,15,1,1204250
490,1,3,1,-5,-5,-5,-5
491,5,3,2,7,12,0,0
492,5,3,2,7,12,1,577300
493,1,3,1,4,14,1,93500
494,5,3,2,-5,-5,-5,-5
495,5,3,2,11,17,1,-33100
496,5,3,2,7,18,0,85000
497,1,3,1,-5,-5,-5,-5
498,1,3,1,7,12,1,237000
499,5,3,2,12,14,1,473000
500,5,3,2,7,16,1,163050
501,5,3,2,10,19,1,385600
502,1,3,1,5,14,1,5500
503,5,3,2,10,12,0,681245
504,5,3,2,2,10,0,63400
505,1,3,1,7,12,1,-3
506,5,3,2,7,16,0,-86500
507,5,3,2,6,14,1,-100495
508,1,3,1,-5,-5,-5,-5
509,1,3,1,-5,-5,-5,-5
510,5,3,2,-5,-5,-5,-5
511,1,3,1,-5,-5,-5,-5
512,1,3,1,-5,-5,-5,-5
513,3,2,1,10,14,0,642000
514,7,2,2,2,12,0,-5000
515,5,3,2,-5,-5,-5,-5
516,3,2,1,2,11,0,0
517,3,2,1,2,11,1,0
518,3,2,1,2,12,0,-11000
519,7,2,2,2,11,0,0
520,3,2,1,12,16,1,58600
521,3,2,1,11,16,1,-3
522,7,2,2,-5,-5,-5,-5
523,3,2,1,2,14,1,300326
524,3,2,1,-5,-5,-5,-5
525,7,2,2,-5,-5,-5,-5
526,1,3,1,-5,-5,-5,-5
527,5,3,2,6,13,1,6000
528,5,3,2,7,11,1,76160
529,5,3,2,-5,-5,-5,-5
530,5,3,2,2,9,0,81300
531,1,3,1,10,10,0,38500
532,5,3,2,-5,-5,-5,-5
533,5,3,2,4,14,1,470300
534,1,3,1,4,12,0,154000
535,1,3,1,-5,-5,-5,-5
536,5,3,2,4,10,1,-3
537,1,3,1,2,12,0,0
538,1,3,1,-5,-5,-5,-5
539,1,3,1,-5,-5,-5,-5
540,1,3,1,-5,-5,-5,-5
541,1,3,1,2,10,1,0
542,5,3,2,7,12,1,-3
543,1,3,1,7,12,0,985
544,5,3,2,11,12,0,342000
545,1,3,1,-5,-5,-5,-5
546,5,3,2,7,11,1,169500
547,1,3,1,11,11,1,611050
548,5,3,2,5,12,1,107500
549,1,3,1,1,12,1,327500
550,5,3,2,4,12,1,-3
551,5,3,2,-5,-5,-5,-5
552,5,3,2,7,16,0,-3
553,1,3,1,7,16,1,604300
554,1,3,1,7,18,1,139000
555,1,3,1,10,12,0,5200
556,1,3,1,-5,-5,-5,-5
557,5,3,2,7,17,1,252400
558,5,3,2,7,18,1,354000
559,1,3,1,10,16,1,65000
560,1,3,1,4,14,1,-37100
561,5,3,2,11,17,1,58500
562,1,3,1,11,18,1,314500
563,5,3,2,-5,-5,-5,-5
564,1,3,1,7,13,0,-3
565,1,3,1,10,12,1,130000
566,5,3,2,-5,-5,-5,-5
567,5,3,2,6,14,1,-3
568,5,3,2,4,12,1,227500
569,1,3,1,-5,-5,-5,-5
570,1,3,1,1,16,1,381000
571,1,3,1,7,13,1,63550
572,5,3,2,-5,-5,-5,-5
573,1,3,1,1,17,1,1150500
574,5,3,2,-5,-5,-5,-5
575,1,3,1,-5,-5,-5,-5
576,5,3,2,11,18,0,511000
577,5,3,2,-5,-5,-5,-5
578,1,3,1,-5,-5,-5,-5
579,5,3,2,7,12,0,917000
580,1,3,1,-5,-5,-5,-5
581,1,3,1,-5,-5,-5,-5
582,5,3,2,9,16,1,-3
583,1,3,1,11,15,0,526600
584,1,3,1,-5,-5,-5,-5
585,5,3,2,5,10,0,-3200
586,2,3,1,-5,-5,-5,-5
587,2,3,1,-5,-5,-5,-5
588,6,3,2,-5,-5,-5,-5
589,6,3,2,-5,-5,-5,-5
590,6,3,2,7,13,1,-8950
591,8,1,2,7,14,1,252500
592,1,3,1,2,12,0,2640
593,8,1,2,10,13,0,-23000
594,3,2,1,2,13,1,2700
595,3,2,1,-5,-5,-5,-5
596,3,2,1,-5,-5,-5,-5
597,3,2,1,2,11,1,0
598,7,2,2,-5,-5,-5,-5
599,3,2,1,-5,-5,-5,-5
600,1,3,1,-5,-5,-5,-5
601,5,3,2,-5,-5,-5,-5
602,1,3,1,-5,-5,-5,-5
603,5,3,2,-5,-5,-5,-5
604,5,3,2,10,15,1,-3
605,1,3,1,10,12,1,81000
606,1,3,1,10,13,1,-54500
607,1,3,1,-5,-5,-5,-5
608,5,3,2,7,16,1,52000
609,5,3,2,7,14,1,42100
610,1,3,1,-5,-5,-5,-5
611,6,3,2,9,19,1,390500
612,6,3,2,11,16,0,216000
613,1,3,1,4,12,0,104500
614,8,1,2,11,18,1,339000
615,5,3,2,11,11,0,-71200
616,1,3,1,-5,-5,-5,-5
617,6,3,2,-5,-5,-5,-5
618,5,3,2,-5,-5,-5,-5
619,5,3,2,7,12,0,174000
620,3,2,1,12,12,1,67000
621,7,2,2,2,11,1,26500
622,7,2,2,2,14,1,113000
623,7,2,2,2,14,1,500
624,3,2,1,2,17,1,49200
625,3,2,1,2,12,1,22308
626,5,3,2,4,10,0,-3010
627,5,3,2,11,12,0,0
628,3,2,1,2,12,0,0
629,1,3,1,10,10,1,10321
630,1,3,1,9,8,0,216600
631,1,3,1,2,11,1,215200
632,5,3,2,2,9,0,463400
633,1,3,1,11,12,0,-3
634,5,3,2,9,12,0,0
635,5,3,2,5,12,1,1155050
636,5,3,2,5,12,0,366200
637,1,3,1,-5,-5,-5,-5
638,1,3,1,9,12,0,657000
639,1,3,1,11,12,1,191300
640,5,3,2,2,12,1,267000
641,1,3,1,2,11,0,0
642,5,3,2,2,12,0,-13900
643,5,3,2,-5,-5,-5,-5
644,1,3,1,7,20,1,3749941
645,1,3,1,7,16,1,1210000
646,5,3,2,7,12,0,300
647,1,3,1,4,13,1,486000
648,5,3,2,4,12,1,6600
649,1,3,1,11,17,1,890500
650,5,3,2,1,16,1,70000
651,1,3,1,-5,-5,-5,-5
652,5,3,2,-5,-5,-5,-5
653,1,3,1,7,18,1,308000
654,5,3,2,11,14,0,171631
655,5,3,2,10,16,1,3749941
656,5,3,2,2,18,0,-3
657,5,3,2,5,19,0,3749941
658,1,3,1,7,12,0,3500
659,1,3,1,7,12,1,317000
660,5,3,2,-5,-5,-5,-5
661,5,3,2,-5,-5,-5,-5
662,5,3,2,11,12,1,49700
663,1,3,1,-5,-5,-5,-5
664,5,3,2,7,17,1,248500
665,5,3,2,7,16,0,-3
666,1,3,1,7,12,0,9400
667,1,3,1,7,14,1,642500
668,5,3,2,7,14,1,-3
669,1,3,1,11,12,0,2000
670,5,3,2,11,18,1,-3
671,3,2,1,11,16,1,19100
672,3,2,1,2,18,0,-28953
673,3,2,1,2,12,0,-61500
674,3,2,1,2,12,0,108000
675,3,2,1,2,11,1,-40
676,3,2,1,12,12,0,26748
677,7,2,2,2,13,1,-3
678,3,2,1,1,12,0,17700
679,3,2,1,2,12,0,0
680,7,2,2,-5,-5,-5,-5
681,3,2,1,2,12,0,0
682,7,2,2,-5,-5,-5,-5
683,7,2,2,1,18,1,-57300
684,1,3,1,7,12,0,19000
685,1,3,1,7,12,0,0
686,1,3,1,12,18,1,289200
687,1,3,1,12,12,1,291500
688,5,3,2,10,14,1,46800
689,5,3,2,-5,-5,-5,-5
690,1,3,1,2,13,1,13500
691,5,3,2,-5,-5,-5,-5
692,5,3,2,10,14,1,-2500
693,1,3,1,-5,-5,-5,-5
694,5,3,2,-5,-5,-5,-5
695,1,3,1,-5,-5,-5,-5
696,5,3,2,-5,-5,-5,-5
697,1,3,1,2,12,0,204000
698,5,3,2,2,10,0,22085
699,5,3,2,11,15,1,1260
700,1,3,1,-5,-5,-5,-5
701,1,3,1,2,8,0,4800
702,1,3,1,10,9,0,500
703,5,3,2,10,15,1,3000
704,5,3,2,11,14,0,149445
705,1,3,1,-5,-5,-5,-5
706,6,3,2,2,15,1,4200
707,1,3,1,11,14,1,302000
708,6,3,2,6,12,0,10800
709,2,3,1,1,10,0,13900
710,1,3,1,-5,-5,-5,-5
711,1,3,1,2,12,1,64000
712,5,3,2,5,14,1,58000
713,5,3,2,-5,-5,-5,-5
714,1,3,1,5,10,0,1000
715,1,3,1,10,12,1,-29000
716,1,3,1,10,12,1,119000
717,1,3,1,11,12,0,-3
718,1,3,1,-5,-5,-5,-5
719,1,3,1,9,12,1,94500
720,5,3,2,10,12,0,69900
721,5,3,2,1,12,1,-3
722,1,3,1,-5,-5,-5,-5
723,5,3,2,10,12,1,-33500
724,5,3,2,10,15,1,560800
725,1,3,1,10,18,1,-3
726,5,3,2,-5,-5,-5,-5
727,1,3,1,-5,-5,-5,-5
728,1,3,1,2,12,1,41600
729,1,3,1,4,12,1,3749941
730,1,3,1,7,16,1,-3
731,1,3,1,5,12,1,113000
732,1,3,1,2,12,1,248500
733,5,3,2,12,12,1,750526
734,8,1,2,-5,-5,-5,-5
735,1,3,1,11,11,0,3120
736,5,3,2,12,12,1,-3
737,1,3,1,10,9,0,113500
738,1,3,1,-5,-5,-5,-5
739,5,3,2,7,12,1,284000
740,5,3,2,11,14,1,169000
741,1,3,1,-5,-5,-5,-5
742,1,3,1,9,18,1,240000
743,5,3,2,9,18,1,421500
744,7,2,2,2,14,0,11000
745,7,2,2,12,12,0,-3
746,5,3,2,9,14,0,88300
747,1,3,1,10,12,1,174000
748,5,3,2,12,12,0,15000
749,1,3,1,-5,-5,-5,-5
750,1,3,1,-5,-5,-5,-5
751,1,3,1,10,14,1,-84300
752,6,3,2,11,18,0,1983700
753,3,2,1,11,12,1,93500
754,3,2,1,-5,-5,-5,-5
755,8,1,2,7,12,0,-4000
756,8,1,2,11,12,0,9200
757,7,2,2,2,18,1,-3
758,7,2,2,2,12,0,-3
759,7,2,2,10,12,0,-10000
760,3,2,1,-5,-5,-5,-5
761,5,3,2,7,14,0,-45000
762,4,1,1,7,12,1,212045
763,4,1,1,2,12,1,-300
764,8,1,2,7,16,1,-1400
765,4,1,1,-5,-5,-5,-5
766,1,3,1,-5,-5,-5,-5
767,1,3,1,-5,-5,-5,-5
768,5,3,2,9,12,0,173346
769,1,3,1,7,12,1,1500
770,5,3,2,7,11,0,2100
771,1,3,1,-5,-5,-5,-5
772,1,3,1,7,14,1,257000
773,1,3,1,-5,-5,-5,-5
774,1,3,1,-5,-5,-5,-5
775,5,3,2,7,16,1,708200
