date,HR,BuzzLight,PeterPan,SevenDwarfs,SpaceMtn,SplashMtn,UnderSea,WinniePooh,BigThunMtn,HauntedMansion,JungleCruise,Pirates
01/03/2015,22,30,60,90,65,25,10,30,75,25,20,30
01/03/2015,23,25,50,90,45,15,10,20,50,15,25,10
01/03/2015,24,5,30,60,15,5,10,5,20,10,5,5
01/04/2015,8,,5,45,,5,5,,,10,,
01/04/2015,9,5,20,60,5,5,5,5,10,5,5,5
01/04/2015,10,10,60,75,45,20,20,35,20,15,10,5
01/04/2015,11,30,60,100,60,30,20,30,50,30,20,15
01/04/2015,12,30,80,90,60,45,30,40,40,60,30,50
01/04/2015,13,45,60,70,70,60,20,40,50,35,50,45
01/04/2015,14,45,70,100,50,40,30,35,40,45,35,35
01/04/2015,15,45,70,110,60,40,30,30,40,70,45,30
01/04/2015,16,40,60,90,60,45,30,35,40,60,60,45
01/04/2015,17,30,80,100,60,45,30,25,50,40,60,30
01/04/2015,18,50,80,80,45,50,20,30,50,35,35,25
01/04/2015,19,40,50,90,50,45,20,20,60,20,20,15
01/04/2015,20,30,45,95,50,25,20,25,50,30,15,5
01/04/2015,21,15,110,90,35,5,10,10,30,20,5,5
01/04/2015,22,30,60,90,60,25,10,15,30,30,15,10
01/04/2015,23,15,60,60,35,15,10,15,30,25,5,5
01/05/2015,8,,,45,,,5,5,,,,
01/05/2015,9,5,20,45,10,,5,5,10,10,5,5
01/05/2015,10,5,40,60,25,,20,25,20,15,15,5
01/05/2015,11,30,60,90,35,,20,30,30,30,35,25
01/05/2015,12,40,40,90,70,,30,40,70,30,40,40
01/05/2015,13,35,90,90,80,,40,45,60,45,55,45
01/05/2015,14,55,90,90,85,,30,25,90,55,50,55
01/05/2015,15,45,60,100,85,,40,20,40,75,45,45
01/05/2015,16,50,110,120,80,,30,40,80,55,50,60
01/05/2015,17,40,90,140,75,,50,50,125,55,60,45
01/05/2015,18,45,90,140,90,,60,35,105,40,55,30
01/05/2015,19,40,90,90,85,,20,45,50,45,40,40
01/05/2015,20,30,90,80,70,,10,20,20,30,25,20
01/05/2015,21,15,20,50,45,,10,15,30,10,10,5
01/05/2015,22,15,45,40,45,,10,15,30,20,5,5
01/05/2015,23,5,45,30,15,,10,5,10,15,5,5
01/06/2015,8,,,45,10,,5,5,,10,,
01/06/2015,9,5,5,45,10,,5,5,5,10,5,5
01/06/2015,10,15,45,75,30,,20,20,20,10,25,5
01/06/2015,11,20,70,90,40,,20,35,20,30,25,30
01/06/2015,12,55,80,70,60,,20,40,55,30,35,30
01/06/2015,13,60,40,80,45,,30,35,60,40,60,25
01/06/2015,14,30,60,90,70,,30,35,30,35,35,40
01/06/2015,15,40,80,100,75,,30,35,30,40,55,20
01/06/2015,16,40,90,70,70,,20,40,50,40,60,45
01/06/2015,17,40,90,80,50,,30,40,40,25,50,45
01/06/2015,18,50,50,90,70,,20,25,,30,55,30
01/06/2015,19,30,60,80,65,,20,25,20,35,25,15
01/06/2015,20,10,50,40,25,,10,10,30,10,10,5
01/06/2015,21,5,30,65,25,,10,5,20,10,5,5
01/07/2015,8,,,45,,,,,,,,
01/07/2015,9,5,20,70,10,,20,10,10,10,5,
01/07/2015,10,15,40,80,10,,20,30,10,10,15,10
01/07/2015,11,20,70,60,30,,20,35,20,20,20,10
01/07/2015,12,30,40,60,60,,20,30,50,30,30,20
01/07/2015,13,45,60,80,45,,30,25,30,35,35,15
01/07/2015,14,45,70,100,25,,20,40,55,30,30,30
01/07/2015,15,20,40,120,45,,20,25,30,35,30,10
01/07/2015,16,35,60,105,50,,20,45,105,35,45,35
01/07/2015,17,25,80,100,50,,30,25,40,35,35,20
01/07/2015,18,25,30,70,40,,20,30,50,25,40,20
01/07/2015,19,15,80,90,50,,20,20,20,15,10,10
01/07/2015,20,5,10,20,20,,10,10,30,10,5,5
01/07/2015,21,5,20,70,10,,10,10,10,10,5,5
01/08/2015,8,5,20,,10,,5,5,,,,
01/08/2015,9,5,20,90,10,,20,20,5,10,5,5
01/08/2015,10,10,40,60,15,,20,20,20,13,30,5
01/08/2015,11,15,60,60,70,,20,20,60,20,30,10
01/08/2015,12,25,50,70,50,,20,20,40,30,35,30
01/08/2015,13,45,80,80,45,,30,40,50,40,30,30
01/08/2015,14,25,50,90,75,,40,40,50,45,50,45
01/08/2015,15,35,80,80,85,,30,30,60,50,30,35
01/08/2015,16,40,50,80,60,,20,35,50,35,40,45
01/08/2015,17,35,70,,70,,40,40,40,40,30,40
01/08/2015,18,25,80,100,70,,20,25,60,30,25,15
01/08/2015,19,15,20,80,40,,20,5,20,25,5,15
01/08/2015,20,5,50,40,25,,10,10,20,10,5,5
01/08/2015,21,5,30,40,10,,10,5,20,10,5,5
01/09/2015,8,,5,45,,,5,5,,,,
01/09/2015,9,5,5,45,10,,5,5,5,13,,5
01/09/2015,10,10,30,50,15,,20,25,20,15,5,10
01/09/2015,11,20,50,80,30,,20,30,30,15,20,10
01/09/2015,12,35,50,70,50,,20,30,20,30,20,15
01/09/2015,13,25,30,50,65,,20,30,30,35,20,15
01/09/2015,14,45,70,70,35,,30,40,40,40,20,25
01/09/2015,15,40,40,80,55,,20,30,40,50,30,10
01/09/2015,16,40,75,70,45,,20,40,40,30,25,40
01/09/2015,17,20,50,70,40,,20,30,40,40,20,35
01/09/2015,18,30,70,70,40,,20,20,30,30,10,25
01/09/2015,19,15,40,50,40,,20,15,20,15,5,15
01/09/2015,20,5,40,40,25,,10,10,10,10,10,10
01/09/2015,21,10,20,40,10,,10,5,10,10,5,5
01/09/2015,24,5,10,30,10,,10,5,10,10,,5
01/09/2015,25,5,10,30,5,,10,5,10,5,,5
01/10/2015,8,,5,45,,,5,5,,,,
01/10/2015,9,5,20,45,10,,5,5,10,10,5,10
01/10/2015,10,5,30,45,10,,20,10,20,10,5,10
01/10/2015,11,25,40,60,30,,20,20,30,15,15,10
01/10/2015,12,55,50,70,,,20,35,30,20,20,45
01/10/2015,13,40,60,100,70,,30,35,50,40,45,45
01/10/2015,14,55,60,100,80,,40,40,60,45,40,40
01/10/2015,15,40,60,105,80,,50,45,65,40,45,35
01/10/2015,16,65,60,105,80,,50,40,50,45,50,45
01/10/2015,17,45,60,105,65,,40,50,65,40,50,45
01/10/2015,18,35,70,120,85,,50,45,70,55,55,35
01/10/2015,19,40,70,100,60,,20,25,40,30,30,20
01/10/2015,20,20,40,80,65,,20,30,40,30,20,25
01/10/2015,21,20,40,70,40,,10,15,20,25,5,5
01/10/2015,22,15,50,50,40,,10,20,40,20,15,10
01/10/2015,23,15,30,60,30,,10,15,20,10,5,5
01/11/2015,8,,,45,,,5,,,10,,
01/11/2015,9,5,20,45,5,,5,5,10,10,5,
01/11/2015,10,5,30,60,10,,20,15,20,10,10,5
01/11/2015,11,10,40,50,10,,20,30,30,15,25,10
01/11/2015,12,20,30,60,30,,20,30,30,15,15,10
01/11/2015,13,20,60,70,45,,20,20,20,25,25,10
01/11/2015,14,40,40,90,25,,20,25,40,35,30,30
01/11/2015,15,40,40,100,35,,20,25,50,30,35,25
01/11/2015,16,30,40,70,40,,20,30,30,30,35,35
01/11/2015,17,30,50,70,45,,30,25,40,30,55,15
01/11/2015,18,45,60,50,50,,20,25,30,25,30,15
01/11/2015,19,20,30,50,45,,20,15,,15,15,5
01/11/2015,20,10,40,80,35,,10,10,20,15,20,15
01/11/2015,21,5,20,20,10,,5,5,20,10,5,5
01/11/2015,22,5,30,30,15,,5,10,20,10,,5
01/11/2015,23,5,10,30,5,,5,5,10,10,,5
01/12/2015,8,5,5,45,,,5,5,,10,,
01/12/2015,9,5,20,45,10,,5,5,10,10,5,
01/12/2015,10,5,30,60,10,,20,15,20,10,15,5
01/12/2015,11,5,40,60,10,,20,25,20,15,25,5
01/12/2015,12,20,30,60,45,,20,20,30,25,30,10
01/12/2015,13,25,30,70,25,,20,25,30,25,25,15
01/12/2015,14,20,60,50,20,,20,20,30,25,30,10
01/12/2015,15,10,40,60,30,,20,25,20,20,15,10
01/12/2015,16,25,50,70,35,,20,25,10,20,15,10
01/12/2015,17,10,30,40,15,,20,30,,15,,10
01/12/2015,18,10,45,40,10,,20,5,10,10,5,5
01/12/2015,19,5,20,20,10,,20,5,10,10,5,5
01/12/2015,20,5,10,45,10,,10,5,10,10,5,5
01/12/2015,21,5,10,20,5,,10,5,10,10,5,5
01/13/2015,8,,,45,,,5,5,5,10,,
01/13/2015,9,5,20,45,10,,5,5,5,10,5,5
01/13/2015,10,10,40,50,10,,20,30,10,10,15,5
01/13/2015,11,10,40,70,20,,20,25,20,15,40,10
01/13/2015,12,15,50,70,30,,20,20,30,25,35,10
01/13/2015,13,20,50,80,20,,20,20,50,30,35,20
01/13/2015,14,15,50,60,30,,20,25,20,40,40,20
01/13/2015,15,15,30,60,30,,20,10,20,25,20,20
01/13/2015,16,25,60,80,45,,20,25,40,30,35,20
01/13/2015,17,20,50,80,30,,20,20,30,20,45,15
01/13/2015,18,15,40,60,30,,20,15,30,15,25,10
01/13/2015,19,5,20,50,20,,20,10,20,13,5,5
01/13/2015,20,5,20,40,10,,20,5,10,13,5,5
01/14/2015,8,,,45,,,,5,,10,,
01/14/2015,9,5,20,45,10,,20,5,10,10,5,5
01/14/2015,10,5,20,50,10,,20,20,10,10,10,5
01/14/2015,11,20,40,60,10,,20,30,20,10,30,5
01/14/2015,12,25,60,70,20,,20,20,30,20,35,10
01/14/2015,13,25,60,80,30,,20,25,30,20,30,15
01/14/2015,14,20,30,70,40,,20,15,30,25,40,15
01/14/2015,15,25,40,60,20,,20,20,30,20,35,10
01/14/2015,16,25,50,60,30,,20,25,40,30,30,20
01/14/2015,17,30,40,90,20,,20,25,30,20,30,15
01/14/2015,18,20,40,30,45,,20,15,30,15,35,10
01/14/2015,19,20,40,60,40,,20,15,20,10,10,15
01/14/2015,20,5,10,30,10,,10,5,10,10,5,
01/15/2015,8,5,20,20,,,20,5,,,,
01/15/2015,9,5,20,50,10,,20,15,10,10,10,5
01/15/2015,10,10,40,60,10,,,20,20,10,20,
01/15/2015,11,20,60,75,20,,,20,20,20,35,15
01/15/2015,12,25,60,75,35,,20,25,35,15,35,35
01/15/2015,13,20,65,,25,,20,25,30,20,35,15
01/15/2015,14,30,30,,55,,30,20,40,30,45,20
01/15/2015,15,20,60,90,35,,30,30,40,35,20,10
01/15/2015,16,20,60,90,45,,20,25,40,30,10,20
01/15/2015,17,30,70,70,30,,20,30,30,30,25,20
01/15/2015,18,15,50,110,25,,20,20,20,15,10,5
01/15/2015,19,10,50,70,40,,20,10,10,10,5,
01/15/2015,20,5,30,65,15,,,5,10,10,5,5
01/15/2015,21,5,20,40,5,,,5,10,5,5,5
01/15/2015,24,5,10,30,,,10,5,10,15,5,5
01/16/2015,8,,5,45,,,,5,,,,
01/16/2015,9,5,20,60,10,,20,10,10,10,5,5
01/16/2015,10,20,40,70,25,,20,25,20,10,20,10
01/16/2015,11,45,50,100,70,,20,25,40,35,25,30
01/16/2015,12,60,60,110,70,,20,35,85,40,45,50
01/16/2015,13,50,60,120,130,,40,40,80,35,45,35
01/16/2015,14,50,80,110,105,,30,35,30,65,55,45
01/16/2015,15,65,50,150,90,,40,35,45,60,45,50
01/16/2015,16,75,60,140,90,,30,40,95,50,55,70
01/16/2015,17,55,90,170,110,,40,40,70,55,40,35
01/16/2015,18,55,80,170,70,,20,35,70,45,35,35
01/16/2015,19,60,50,100,70,,30,25,50,40,40,35
01/16/2015,20,40,60,70,70,,10,20,40,35,15,20
01/16/2015,21,25,40,90,55,,10,20,40,35,10,10
01/16/2015,22,15,40,80,45,,10,10,20,15,10,10
01/16/2015,23,15,30,50,35,,10,15,10,15,10,10
01/16/2015,24,15,30,60,40,,10,15,,20,10,20
01/16/2015,25,5,10,30,40,,10,5,10,10,5,5
01/17/2015,8,,20,,,,5,5,,10,,
01/17/2015,9,5,20,30,10,,5,10,10,10,5,
01/17/2015,10,15,50,75,30,,20,25,20,15,40,
01/17/2015,11,50,60,100,60,,20,45,20,35,40,
01/17/2015,12,45,60,130,65,,30,35,75,45,65,
01/17/2015,13,65,60,140,70,,40,30,90,55,85,
01/17/2015,14,40,120,110,80,,60,40,90,40,105,
01/17/2015,15,55,100,140,80,,50,45,60,55,65,
01/17/2015,16,50,80,130,75,,50,55,75,75,65,
01/17/2015,17,70,80,150,45,,50,65,75,60,70,
01/17/2015,18,45,80,140,110,,70,45,75,75,60,5
01/17/2015,19,50,90,110,95,,40,40,75,40,70,25
01/17/2015,20,40,105,90,75,,30,35,60,45,20,55
01/17/2015,21,35,70,90,65,,40,35,60,40,20,35
01/17/2015,22,20,50,60,45,,20,20,20,20,10,20
01/17/2015,23,35,50,90,50,,10,20,40,30,20,25
01/17/2015,24,10,30,50,25,,10,5,20,15,5,10
01/17/2015,25,5,20,50,10,,10,5,10,5,5,5
01/18/2015,8,,5,45,,,5,5,,10,,
01/18/2015,9,5,5,45,20,,5,5,10,10,5,5
01/18/2015,10,20,60,80,40,,20,25,20,35,30,15
01/18/2015,11,30,60,110,45,,20,35,50,30,40,45
01/18/2015,12,40,60,110,75,,30,50,60,45,55,50
01/18/2015,13,40,50,90,70,,30,40,50,45,55,
01/18/2015,14,50,70,90,55,,30,50,50,45,80,55
01/18/2015,15,45,70,110,75,,30,40,40,40,30,45
01/18/2015,16,80,80,140,85,,30,45,75,45,85,40
01/18/2015,17,40,80,100,90,,30,30,40,50,60,
01/18/2015,18,45,80,120,55,,30,40,55,40,65,65
01/18/2015,19,30,90,90,60,,20,30,60,45,30,35
01/18/2015,20,40,40,90,50,,20,30,30,40,25,30
01/18/2015,21,25,50,60,60,,10,25,60,25,15,25
01/18/2015,22,30,40,60,45,,10,20,30,20,5,40
01/18/2015,23,15,50,70,50,,10,15,40,25,10,10
01/19/2015,8,,5,45,,,5,,,10,,
01/19/2015,9,5,20,45,10,,5,5,10,10,5,5
01/19/2015,10,10,40,60,35,,20,25,20,25,10,5
01/19/2015,11,30,60,105,55,,20,30,30,25,35,15
01/19/2015,12,40,70,120,65,,40,45,50,35,35,35
01/19/2015,13,40,70,130,55,,30,45,60,45,50,55
01/19/2015,14,45,50,100,70,,50,40,50,50,55,40
01/19/2015,15,55,60,100,55,,30,35,50,40,40,40
01/19/2015,16,60,60,100,60,,30,45,40,45,45,45
01/19/2015,17,50,60,130,60,,30,35,60,55,75,35
01/19/2015,18,45,50,130,70,,30,25,40,25,35,10
01/19/2015,19,25,50,80,70,,20,20,40,35,35,20
01/19/2015,20,20,70,80,45,,10,25,50,15,5,15
01/19/2015,21,25,40,80,35,,10,15,30,10,5,10
01/19/2015,22,5,30,40,25,,10,10,20,10,5,5
01/19/2015,23,5,20,50,10,,10,5,10,13,5,
01/20/2015,8,,,45,10,,5,5,,10,,
01/20/2015,9,5,20,45,10,,5,5,10,10,5,5
01/20/2015,10,15,40,75,10,,5,30,20,10,5,10
01/20/2015,11,40,70,105,40,,20,45,30,25,55,25
01/20/2015,12,55,40,140,55,,40,30,50,30,50,30
01/20/2015,13,50,60,70,85,,30,40,60,55,45,65
01/20/2015,14,50,100,70,55,,40,45,50,45,65,45
01/20/2015,15,45,70,90,70,,40,35,50,35,60,40
01/20/2015,16,45,80,120,65,,40,40,50,90,50,60
01/20/2015,17,50,90,100,85,,30,40,40,40,50,35
01/20/2015,18,45,60,70,60,,20,30,50,40,45,60
01/20/2015,19,25,50,100,60,,20,25,30,50,25,25
01/20/2015,20,15,30,50,25,,20,25,20,15,5,10
01/20/2015,21,15,50,50,50,,10,20,30,13,5,5
01/20/2015,22,5,30,30,10,,10,5,30,13,5,5
01/21/2015,8,,,45,,,5,5,,10,,
01/21/2015,9,5,20,60,10,,5,5,5,10,5,5
01/21/2015,10,5,30,60,10,,20,20,10,10,10,5
01/21/2015,11,20,50,60,10,,20,30,20,15,20,10
01/21/2015,12,20,30,60,45,,20,20,30,15,25,25
01/21/2015,13,20,70,60,30,,20,35,30,25,45,20
01/21/2015,14,20,20,80,25,,20,25,30,25,35,20
01/21/2015,15,20,50,50,25,,20,25,20,30,35,15
01/21/2015,16,20,30,70,35,,20,20,30,15,35,25
01/21/2015,17,30,70,80,25,,20,25,30,10,35,20
01/21/2015,18,15,30,50,35,,20,20,30,10,30,10
01/21/2015,19,10,60,60,30,,20,10,20,15,10,10
01/21/2015,20,5,10,30,10,,10,5,10,10,5,5
01/22/2015,8,5,20,45,10,,5,5,,13,,
01/22/2015,9,5,30,50,5,,20,20,20,13,5,5
01/22/2015,10,10,40,70,25,,20,25,20,10,25,
01/22/2015,11,45,70,80,35,,20,30,50,20,70,30
01/22/2015,12,30,50,70,45,,20,30,40,25,35,30
01/22/2015,13,35,60,60,30,,20,30,40,30,30,30
01/22/2015,14,35,50,80,50,,20,35,30,35,75,45
01/22/2015,15,35,50,110,35,,30,25,50,30,60,35
01/22/2015,16,30,40,100,30,,20,30,40,30,70,40
01/22/2015,17,30,60,80,35,,30,30,30,30,60,35
01/22/2015,18,10,70,80,50,,20,30,50,15,40,30
01/22/2015,19,15,50,70,15,,20,20,30,10,20,20
01/22/2015,20,5,40,40,15,,10,10,10,10,5,5
01/22/2015,21,5,40,40,10,,20,5,10,10,5,5
01/23/2015,9,5,20,60,10,,5,5,10,10,5,5
01/23/2015,10,15,40,90,15,,20,20,20,10,15,5
01/23/2015,11,20,30,50,20,,20,30,30,15,35,15
01/23/2015,12,15,50,70,35,,20,20,30,25,20,10
01/23/2015,13,20,50,100,20,,20,25,50,20,35,20
01/23/2015,14,15,50,70,35,,20,25,30,25,40,15
01/23/2015,15,25,40,60,,,20,25,60,20,40,20
01/23/2015,16,15,50,90,50,,20,20,30,20,35,20
01/23/2015,17,30,50,90,45,,20,25,30,15,20,20
01/23/2015,18,10,50,40,35,,20,20,30,10,25,10
01/23/2015,19,10,40,50,30,,20,10,50,13,5,5
01/23/2015,20,5,30,40,20,,10,10,10,13,5,5
01/23/2015,21,5,20,30,10,,10,5,10,13,5,5
01/23/2015,24,5,20,,25,,,,,,,
01/23/2015,25,,20,40,10,,,10,,,,5
01/24/2015,8,,,45,,,5,,,,,
01/24/2015,9,5,20,45,10,,5,10,10,10,,5
01/24/2015,10,10,40,45,10,,20,20,20,15,15,5
01/24/2015,11,15,50,80,35,,20,25,30,20,25,10
01/24/2015,12,45,60,90,50,,30,35,40,30,30,45
01/24/2015,13,30,60,80,50,,40,30,50,55,50,45
01/24/2015,14,40,80,90,75,,40,35,50,55,60,50
01/24/2015,15,50,90,110,55,,30,30,50,30,35,35
01/24/2015,16,30,50,110,90,,40,30,50,60,55,45
01/24/2015,17,55,80,90,60,,60,40,50,60,50,45
01/24/2015,18,40,70,90,50,,40,45,50,45,50,35
01/24/2015,19,30,70,80,65,,30,35,50,50,30,10
01/24/2015,20,35,90,70,60,,10,25,30,35,10,20
01/24/2015,21,20,30,60,40,,10,20,20,10,10,10
01/24/2015,22,25,60,50,65,,20,25,30,25,20,30
01/24/2015,23,15,50,80,45,,20,20,50,15,10,25
01/25/2015,8,,,45,,,,5,,10,,
01/25/2015,9,5,20,45,10,,5,5,10,10,5,5
01/25/2015,10,10,40,60,10,,20,20,20,15,15,5
01/25/2015,11,30,60,75,25,,20,25,30,15,15,30
01/25/2015,12,25,50,70,45,,30,35,30,30,50,45
01/25/2015,13,45,50,80,55,,30,30,40,30,40,30
01/25/2015,14,30,70,90,55,,30,25,30,45,40,30
01/25/2015,15,40,90,110,40,,40,40,40,35,40,35
01/25/2015,16,30,50,110,50,,30,35,40,45,40,30
01/25/2015,17,30,60,110,50,,30,40,30,55,55,40
01/25/2015,18,50,60,80,35,,20,35,50,35,20,15
01/25/2015,19,30,50,50,45,,20,20,20,15,10,15
01/25/2015,20,20,70,60,10,,10,10,20,15,5,10
01/25/2015,21,5,20,30,25,,5,10,20,10,5,5
01/25/2015,22,5,20,40,20,,10,,10,10,5,5
01/26/2015,8,,5,45,,,5,5,,10,,
01/26/2015,9,5,10,45,10,,5,5,,10,5,5
01/26/2015,10,10,40,60,10,,20,20,5,10,20,5
01/26/2015,11,10,30,50,10,,20,25,30,15,30,10
01/26/2015,12,20,60,70,45,,20,20,30,25,30,10
01/26/2015,13,20,30,90,35,,20,30,40,25,65,15
01/26/2015,14,25,70,70,25,,30,35,30,30,35,35
01/26/2015,15,25,40,70,35,,40,30,20,40,35,15
01/26/2015,16,20,40,,40,,20,30,30,35,30,20
01/26/2015,17,20,60,90,50,,20,25,40,25,35,20
01/26/2015,18,20,80,60,20,,20,40,40,,30,10
01/26/2015,19,10,90,50,30,,20,5,30,10,10,5
01/26/2015,20,5,20,50,5,,10,5,,10,5,5
01/27/2015,8,,,45,10,,5,5,,10,,
01/27/2015,9,5,20,45,10,,5,5,10,10,5,5
01/27/2015,10,20,50,70,15,,20,25,20,30,35,10
01/27/2015,11,25,70,80,25,,20,30,40,15,40,25
01/27/2015,12,30,110,90,55,,20,30,70,30,45,50
01/27/2015,13,50,110,90,65,,30,50,70,50,50,45
01/27/2015,14,45,60,130,85,,40,50,70,50,60,
01/27/2015,15,30,60,130,70,,20,30,70,50,40,
01/27/2015,16,40,120,100,60,,30,,30,45,40,40
01/27/2015,17,40,100,90,60,,20,40,50,30,35,
01/27/2015,18,50,40,100,60,,20,25,50,25,25,30
01/27/2015,19,10,60,80,40,,20,15,30,15,10,20
01/27/2015,20,5,20,50,10,,10,10,10,10,5,5
01/27/2015,21,5,40,50,10,,10,10,10,10,5,5
01/28/2015,8,,,,,,,,,,,
01/28/2015,9,5,30,45,10,,20,10,5,10,5,5
01/28/2015,10,15,60,60,35,,,20,20,10,10,5
01/28/2015,11,15,40,80,,,,,20,,30,20
01/28/2015,12,25,40,80,20,,,20,30,20,20,15
01/28/2015,13,15,,60,50,,20,35,20,5,30,15
01/28/2015,14,20,90,,,,20,30,,5,40,15
01/28/2015,15,25,30,70,40,,,20,30,,,5
01/28/2015,16,,80,80,50,,15,30,,30,,35
01/28/2015,17,,,80,,,,30,,30,50,25
01/28/2015,18,15,,40,25,,20,15,20,15,,
01/28/2015,19,,,40,25,,,,,,,
01/29/2015,8,5,30,45,10,,20,10,,,,
01/29/2015,9,,50,65,10,,5,25,5,10,20,
01/29/2015,10,35,60,,,,,,30,10,30,10
01/29/2015,11,15,40,70,25,,20,30,35,25,35,25
01/29/2015,12,25,75,80,30,,20,25,30,25,35,25
01/29/2015,13,20,30,90,25,,20,25,30,30,50,25
01/29/2015,14,25,40,60,25,,20,30,15,5,5,10
01/29/2015,15,15,30,70,25,,20,30,15,5,15,10
01/29/2015,16,15,30,100,25,,20,30,15,5,15,10
01/29/2015,17,20,80,50,35,,20,25,15,5,15,10
01/29/2015,18,40,70,80,20,,20,30,15,5,5,10
01/29/2015,19,15,30,90,35,,20,15,15,5,5,10
01/29/2015,20,5,30,20,35,,10,5,20,5,5,10
01/29/2015,21,5,30,,40,,,,15,5,5,10
01/29/2015,22,5,30,,25,,,,15,5,5,10
01/29/2015,23,5,30,,40,,,,15,5,5,10
01/30/2015,8,5,5,45,10,,5,5,5,10,5,5
01/30/2015,9,5,20,45,10,,5,5,5,10,5,5
01/30/2015,10,15,50,90,15,,20,25,20,15,20,5
01/30/2015,11,25,90,90,30,,20,30,40,25,35,20
01/30/2015,12,65,80,70,60,,30,30,30,35,55,45
01/30/2015,13,30,70,90,65,,20,30,40,30,45,40
01/30/2015,14,40,60,90,50,,50,45,50,45,70,35
01/30/2015,15,40,70,90,55,,40,35,40,35,30,40
01/30/2015,16,30,100,90,45,,30,40,50,45,60,
01/30/2015,17,40,90,90,40,,20,30,40,30,45,
01/30/2015,18,35,50,80,55,,30,25,60,30,60,
01/30/2015,19,15,80,70,55,,20,25,40,20,20,
01/30/2015,20,10,60,50,35,,10,15,20,10,5,
01/30/2015,21,5,40,40,15,,10,5,20,10,5,
01/30/2015,22,5,,20,10,,10,,,,,
01/30/2015,23,5,,20,10,,10,,,,,
01/30/2015,24,,,,,,,,20,,,
01/30/2015,25,,15,,,,,,,5,,
01/30/2015,26,,,,,,,,,,,
01/31/2015,7,5,5,45,10,,5,5,5,10,5,
01/31/2015,8,5,5,45,10,,5,5,5,10,5,5
01/31/2015,9,5,30,60,5,,20,10,10,10,5,5
01/31/2015,10,10,50,60,20,,20,20,20,5,5,5
01/31/2015,11,50,90,70,45,,20,35,30,30,30,40
01/31/2015,12,55,60,90,60,,30,45,40,30,50,55
01/31/2015,13,40,70,90,65,,40,35,50,30,40,30
01/31/2015,14,40,80,120,60,,40,40,40,45,60,50
