"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","S2011600","S2261100","S2987800"
58,1,11,1983,1,1,3700,3,1
59,2,4,1981,1,1,-4,3,6
60,1,1,1984,1,4,4500,1,5
61,2,5,1983,1,1,3200,3,1
62,1,3,1980,1,1,-4,5,1
63,2,10,1984,1,1,-4,3,3
64,1,3,1980,1,1,-4,4,4
65,1,4,1984,1,1,7600,3,7
66,1,10,1980,1,1,-4,5,5
67,1,11,1980,1,1,-4,5,1
68,1,1,1981,1,1,-4,3,6
69,2,7,1981,1,1,-4,5,7
70,1,8,1982,1,1,-4,3,6
71,1,1,1980,1,1,-4,3,1
72,2,4,1982,1,1,-4,3,1
73,1,10,1984,1,1,9300,3,2
74,1,7,1983,1,4,-3,3,3
75,1,1,1982,1,4,-4,3,1
76,1,1,1982,1,4,-4,3,1
77,2,11,1984,1,2,-4,3,2
78,2,7,1981,1,4,-4,3,1
79,1,12,1983,1,2,2500,1,1
80,1,6,1981,1,1,-4,1,1
81,2,1,1984,1,1,-4,2,1
82,1,7,1984,1,2,-3,3,1
83,1,9,1981,1,2,-4,2,3
84,2,2,1984,1,2,2500,3,6
85,1,2,1984,1,4,6423,3,1
86,2,10,1980,1,4,-4,3,1
87,1,5,1984,1,2,-4,3,1
88,1,1,1981,1,4,-4,3,5
89,1,11,1981,1,4,-4,3,2
90,1,11,1981,1,2,-4,3,3
91,2,9,1982,1,2,-4,3,2
92,1,4,1983,1,4,7500,1,1
93,1,9,1983,1,2,-5,-5,-5
94,2,9,1980,1,1,-4,4,2
95,1,7,1982,1,2,-5,-5,-5
96,1,7,1982,1,4,-5,-5,-5
97,1,6,1980,1,2,-4,5,1
98,1,1,1980,1,4,-4,3,1
99,1,6,1982,1,2,-4,2,2
100,2,1,1981,1,1,-4,1,1
101,2,7,1981,1,1,-4,3,5
102,2,4,1982,1,2,-5,-5,-5
103,2,11,1983,1,2,-5,-5,-5
104,2,11,1980,1,4,-4,5,2
105,1,8,1983,1,4,-500,3,3
106,1,11,1981,1,4,-5,-5,-5
107,2,8,1982,1,4,-4,3,4
108,1,9,1984,1,4,-4,3,3
109,2,3,1982,1,4,-4,3,1
110,2,2,1984,1,4,-4,3,2
111,2,1,1981,1,4,-4,5,1
112,2,4,1984,1,4,-4,3,7
113,1,4,1984,1,4,-4,3,2
114,2,7,1982,1,4,-4,3,1
115,2,10,1984,1,2,-4,2,1
116,1,10,1984,1,1,-4,3,5
117,1,10,1984,1,1,18000,3,2
118,1,6,1980,1,4,-4,3,2
119,1,9,1982,1,4,-5,-5,-5
120,1,6,1982,1,4,-5,-5,-5
121,1,12,1981,1,4,-4,3,1
122,1,6,1984,1,4,-4,3,1
123,1,2,1980,1,4,-5,-5,-5
124,1,2,1982,1,4,-5,-5,-5
125,2,5,1984,1,4,-5,-5,-5
126,1,5,1981,1,4,-4,3,2
127,2,3,1982,1,4,-4,3,6
128,2,8,1982,1,4,-4,3,1
129,2,8,1980,1,4,-4,5,5
130,2,7,1981,1,4,-5,-5,-5
131,1,10,1980,1,4,-5,-5,-5
132,1,2,1983,1,4,-5,-5,-5
133,1,7,1982,1,4,13050,3,1
134,1,4,1984,1,4,-4,3,1
135,1,4,1981,1,4,-4,5,1
136,2,9,1983,1,4,-5,-5,-5
137,2,5,1980,1,4,-4,3,3
138,1,4,1984,1,4,7500,3,2
139,2,7,1984,1,4,-5,-5,-5
140,1,12,1983,1,2,-5,-5,-5
141,2,1,1980,1,4,-5,-5,-5
142,2,1,1981,1,4,-5,-5,-5
143,1,8,1981,1,1,-4,3,5
144,1,8,1982,1,1,-4,3,6
145,1,4,1984,1,1,-3,2,5
146,1,7,1984,1,1,-4,3,4
147,2,2,1984,1,4,-4,3,3
148,2,10,1982,1,1,-4,2,2
149,2,4,1983,1,1,-1700,3,5
150,1,2,1984,1,1,-4,3,1
151,2,1,1982,1,1,-4,3,5
152,1,5,1982,1,1,-3,3,4
153,2,2,1980,1,1,-4,3,6
154,1,6,1980,1,4,-5,-5,-5
155,1,2,1980,1,4,-4,5,2
156,1,11,1982,1,4,-4,3,4
157,2,3,1982,1,2,-4,3,1
158,1,12,1984,1,2,-4,3,2
159,2,1,1980,1,2,-4,3,2
160,2,1,1981,1,2,-4,1,1
161,1,1,1982,1,2,-4,1,1
162,2,8,1981,1,1,-4,4,6
163,1,2,1983,1,1,-4,3,1
164,2,7,1981,1,4,-4,3,2
165,1,4,1980,1,4,-4,5,3
166,2,9,1982,1,4,-4,3,2
167,1,11,1984,1,2,3500,3,6
168,1,1,1981,1,2,-5,-5,-5
169,2,1,1983,1,4,-4,2,1
170,2,8,1984,1,4,-4,3,3
171,2,7,1984,1,2,-4,3,6
172,1,7,1983,1,4,-5,-5,-5
173,2,6,1980,1,4,-5,-5,-5
174,1,4,1983,1,4,-5,-5,-5
175,2,10,1981,1,4,-4,5,6
176,1,9,1982,1,4,-4,3,6
177,2,11,1980,1,4,-4,5,2
178,2,3,1980,1,4,-5,-5,-5
179,2,9,1981,1,4,-5,-5,-5
180,1,9,1983,1,4,8924,3,4
181,2,11,1982,1,4,-4,3,3
182,2,5,1984,1,4,-4,3,2
183,2,12,1980,1,4,-4,3,1
184,1,12,1984,1,4,-4,3,1
185,1,6,1981,1,1,-4,3,1
186,2,7,1983,1,4,-3,3,1
187,1,9,1983,1,2,21050,1,1
188,2,10,1980,1,4,13000,4,1
189,2,8,1984,1,4,-5,-5,-5
190,1,10,1983,1,4,-5,-5,-5
191,1,2,1982,1,4,-4,3,1
192,2,3,1982,1,2,-4,3,3
193,2,2,1981,1,1,-4,3,5
194,2,10,1980,1,2,-4,3,1
195,1,1,1983,1,1,2500,3,4
196,1,4,1984,1,2,-5,-5,-5
197,2,12,1981,1,4,-5,-5,-5
198,2,7,1980,1,4,-4,3,2
199,1,6,1982,1,4,-4,3,1
200,1,8,1980,1,4,-4,3,6
201,2,12,1983,1,4,-4,3,1
202,1,1,1982,1,4,-4,2,6
203,2,1,1984,1,4,7500,3,6
204,2,5,1981,1,4,-4,3,4
205,2,11,1983,1,4,481500,3,2
206,1,2,1982,1,4,-4,3,3
207,2,11,1981,1,4,-4,3,6
208,2,3,1984,1,4,-4,3,6
209,1,6,1983,1,2,5500,3,6
210,1,5,1984,1,2,-4,1,6
211,2,6,1980,1,2,-4,5,7
212,1,2,1980,1,2,-4,2,1
213,2,4,1982,1,2,-4,4,3
214,2,11,1982,1,2,-4,3,2
215,1,5,1981,1,2,-4,3,1
216,2,6,1980,1,2,-4,2,1
217,2,11,1982,1,2,-4,3,3
218,1,9,1983,1,2,-5,-5,-5
219,1,3,1982,1,3,-4,3,2
220,1,3,1984,1,4,-4,3,1
221,2,9,1984,1,4,-4,3,1
222,1,1,1981,1,2,-4,3,1
223,1,1,1981,1,2,-4,3,1
224,2,10,1982,1,4,-4,3,1
225,1,10,1980,1,4,-4,3,3
226,2,3,1981,1,1,-4,3,6
227,2,1,1980,1,3,-4,1,2
228,1,1,1984,1,4,-4,3,3
229,2,2,1984,1,4,-4,3,6
230,1,5,1984,1,2,-4,3,2
231,1,11,1980,1,2,-4,3,3
232,1,6,1984,1,2,-5,-5,-5
233,1,12,1980,1,2,-4,3,5
234,2,8,1983,1,2,2500,3,2
235,2,8,1981,1,4,-4,1,6
236,2,12,1984,1,2,2500,3,2
237,1,3,1983,1,4,227500,3,4
238,2,8,1981,1,4,-4,3,1
239,1,9,1980,1,4,-4,1,6
240,2,4,1983,1,4,-4,3,2
241,2,2,1983,1,2,2750,1,1
242,1,6,1984,1,2,-4,3,1
243,2,2,1983,1,3,2500,3,2
244,1,3,1983,1,2,-3,3,2
245,2,7,1984,1,4,-4,3,6
246,1,10,1980,1,2,-4,5,1
247,1,3,1982,1,4,-4,3,1
248,2,9,1983,1,4,-3,3,1
249,1,8,1981,1,4,-5,-5,-5
250,1,9,1981,1,4,-4,3,2
251,1,4,1982,1,2,-4,3,1
252,2,7,1984,1,2,-4,3,1
253,2,9,1984,1,4,-5,-5,-5
254,1,8,1981,1,4,-4,3,1
255,2,7,1983,1,4,-5,-5,-5
256,1,8,1980,1,4,-4,2,1
257,1,5,1984,1,4,-4,1,1
258,1,11,1982,1,4,-4,4,2
259,1,12,1981,1,4,-4,3,4
260,1,12,1980,1,1,-4,3,2
261,1,4,1983,1,1,20700,3,2
262,1,9,1980,1,1,-4,1,2
263,1,7,1983,1,1,8000,2,1
264,1,7,1982,1,4,-4,3,1
265,1,9,1983,1,2,7500,3,5
266,2,12,1980,1,4,-4,5,1
267,2,12,1980,1,4,-4,5,1
268,1,12,1981,1,2,-4,3,1
269,2,6,1981,1,4,-4,2,4
270,2,1,1984,1,4,-4,3,2
271,2,8,1982,1,4,-4,1,1
272,2,9,1982,1,2,-4,2,7
273,2,4,1983,1,2,3748,1,5
274,2,8,1980,1,2,-4,1,2
275,1,12,1980,1,2,-4,3,2
276,2,1,1982,1,2,-5,-5,-5
277,1,2,1984,1,2,-4,2,1
278,1,9,1980,1,4,-4,3,1
279,1,4,1981,1,4,-5,-5,-5
280,1,5,1983,1,4,17500,3,2
281,1,12,1984,1,1,-4,3,3
282,1,6,1980,1,4,-4,3,1
283,1,5,1984,1,4,2500,3,5
284,2,3,1981,1,1,-4,4,2
285,1,2,1981,1,4,-4,3,5
286,2,9,1984,1,4,-4,3,4
287,1,5,1980,1,4,-4,3,2
288,2,10,1983,1,4,3500,3,1
289,2,10,1984,1,4,-3,3,1
290,2,1,1984,1,4,17800,3,1
291,2,6,1980,1,4,-4,3,1
292,2,9,1984,1,1,-4,3,2
293,2,11,1983,1,2,-24480,3,6
294,1,5,1982,1,2,-4,3,7
295,2,9,1984,1,2,-4,3,4
296,2,12,1981,1,2,-4,3,1
297,1,7,1984,1,2,51500,3,1
298,2,6,1983,1,4,-2500,3,3
299,1,5,1981,1,4,85000,3,1
300,2,5,1984,1,4,-4,3,4
301,2,12,1981,1,4,-5,-5,-5
302,2,3,1984,1,4,-5,-5,-5
303,2,9,1980,1,4,-4,3,3
304,1,2,1983,1,4,-3,1,2
305,2,2,1983,1,4,-3,3,6
306,2,2,1980,1,4,-5,-5,-5
307,2,5,1980,1,4,-4,5,2
308,1,4,1981,1,4,-5,-5,-5
309,2,4,1981,1,4,-5,-5,-5
310,2,6,1982,1,4,-5,-5,-5
311,1,3,1982,1,4,-4,3,3
312,2,7,1982,1,4,-4,3,3
313,2,4,1981,1,4,-4,5,2
314,1,10,1984,1,4,-4,3,1
315,2,1,1982,1,4,-4,3,1
316,1,4,1982,1,4,-5,-5,-5
317,2,8,1980,1,2,-4,4,2
318,1,2,1983,1,4,-5,-5,-5
319,2,3,1983,1,4,-5,-5,-5
320,2,7,1982,1,4,-4,3,3
321,1,10,1981,1,4,-4,3,1
322,2,6,1982,1,4,-4,3,1
323,1,3,1980,1,4,-4,3,1
324,1,6,1980,1,4,-5,-5,-5
325,1,9,1984,1,4,-4,3,3
326,2,3,1980,1,4,-4,5,4
327,2,1,1983,1,4,6800,3,2
328,1,3,1984,1,4,-5,-5,-5
329,1,2,1984,1,4,-4,3,1
330,1,6,1982,1,4,-5,-5,-5
331,2,4,1980,1,4,-4,3,6
332,1,1,1980,1,4,-4,5,2
333,2,8,1982,1,4,-4,3,2
334,2,1,1984,1,4,-4,3,2
335,2,6,1980,1,4,-5,-5,-5
336,1,2,1982,1,1,-4,4,2
337,1,7,1983,1,4,29100,3,3
338,2,4,1981,1,4,-4,5,3
339,2,9,1981,1,4,-4,5,6
340,1,12,1981,1,4,-4,4,1
341,1,12,1983,1,4,4600,3,1
342,1,3,1982,1,4,-4,2,5
343,1,3,1984,1,4,-4,1,2
344,1,3,1984,1,4,2500,3,6
345,1,3,1984,1,4,-4,1,1
346,1,5,1984,1,2,290500,3,2
347,1,9,1981,1,2,-4,1,2
348,1,8,1983,1,2,5500,1,6
349,1,1,1984,1,2,17500,3,1
350,1,2,1984,1,4,43500,3,1
351,2,6,1981,1,2,-5,-5,-5
352,2,6,1981,1,2,-5,-5,-5
353,2,9,1982,1,2,-4,1,6
354,2,7,1982,1,2,-5,-5,-5
355,2,12,1980,1,2,-4,3,6
356,2,10,1982,1,2,-4,3,8
357,1,9,1981,1,2,-4,3,7
358,1,2,1983,1,2,-3,4,6
359,2,1,1983,1,2,1660,3,7
360,1,9,1984,1,2,3500,3,4
361,1,8,1980,1,2,-5,-5,-5
362,2,4,1981,1,2,-4,3,6
363,2,11,1983,1,2,2500,3,6
364,2,7,1984,1,2,-4,3,1
365,2,2,1982,1,2,-4,1,1
366,2,8,1980,1,2,-4,3,2
367,1,6,1981,1,2,-4,3,3
368,2,4,1981,1,2,-4,3,2
369,1,7,1984,1,2,-5,-5,-5
370,1,6,1981,1,2,-4,1,1
371,2,12,1982,1,2,-5,-5,-5
372,1,6,1983,1,2,3000,3,1
373,2,8,1984,1,2,-4,3,1
374,2,9,1981,1,4,-4,3,1
375,1,7,1982,1,1,17500,3,7
376,1,3,1981,1,1,-4,3,3
377,2,12,1984,1,1,7500,1,2
378,1,2,1984,1,1,12000,3,3
379,2,11,1980,1,2,-5,-5,-5
380,1,2,1983,1,4,-5,-5,-5
381,1,1,1980,1,2,-5,-5,-5
382,2,1,1980,1,4,-5,-5,-5
383,2,2,1984,1,4,-5,-5,-5
384,1,11,1983,1,2,-5,-5,-5
385,1,12,1981,1,2,-4,3,3
386,1,6,1980,1,2,-4,3,2
387,2,1,1983,1,2,21000,1,2
388,2,1,1982,1,2,-4,1,2
389,2,6,1981,1,4,-5,-5,-5
390,2,3,1983,1,4,2551,3,6
391,1,3,1980,1,4,-4,3,1
392,1,1,1980,1,2,-4,3,1
393,1,9,1983,1,2,12500,3,2
394,1,10,1984,1,2,3700,3,1
395,1,8,1984,1,4,2500,3,4
396,1,9,1983,1,4,-3,3,2
397,1,4,1982,1,2,-4,2,3
398,1,8,1980,1,2,-4,3,2
399,1,9,1980,1,3,-5,-5,-5
400,2,7,1982,1,3,-5,-5,-5
401,1,6,1984,1,4,-4,3,1
402,2,7,1984,1,4,-4,1,3
403,2,2,1984,1,1,-4,3,6
404,1,3,1980,1,4,-4,3,6
405,1,9,1981,1,4,-4,4,6
406,2,6,1983,1,4,6000,4,6
407,2,10,1981,1,2,-4,3,4
408,1,5,1980,1,1,-4,3,6
409,2,12,1980,1,1,-4,3,1
410,1,10,1980,1,2,-4,1,5
411,2,2,1980,1,2,-4,3,2
412,1,2,1982,1,2,-4,3,6
413,1,7,1980,1,1,-4,3,1
414,2,7,1980,1,1,-4,3,1
415,2,12,1981,1,4,-4,5,1
416,2,7,1980,1,4,-4,5,1
417,2,5,1983,1,4,34000,3,2
418,1,5,1983,1,4,-5,-5,-5
419,1,2,1984,1,4,11500,3,2
420,1,3,1980,1,4,-4,3,1
421,1,8,1982,1,4,-4,3,2
422,1,1,1981,1,3,-4,4,1
423,2,1,1984,1,3,7516,3,3
424,2,6,1984,1,2,-4,3,2
425,2,8,1982,1,4,-4,5,1
426,2,12,1980,1,2,-4,3,1
427,1,11,1981,1,2,-4,3,1
428,2,11,1984,1,2,-4,3,6
429,1,1,1981,1,4,-4,1,1
430,1,3,1983,1,4,3300,3,2
431,2,10,1984,1,2,-4,3,2
432,1,2,1981,1,2,-5,-5,-5
433,2,9,1984,1,2,800,3,6
434,1,4,1982,1,4,-4,3,2
435,2,6,1981,1,2,-5,-5,-5
436,2,2,1982,1,2,-5,-5,-5
437,2,7,1981,1,2,-4,3,8
438,1,3,1983,1,2,2500,1,3
439,2,5,1984,1,2,2500,1,7
440,1,8,1980,1,2,-4,1,6
441,1,1,1982,1,2,-4,1,6
442,2,3,1981,1,2,-5,-5,-5
443,1,6,1980,1,2,-4,3,5
444,2,2,1982,1,2,-4,1,3
445,1,1,1981,1,2,-4,3,1
446,1,2,1983,1,2,-6300,3,1
447,2,9,1983,1,2,7500,1,2
448,2,9,1983,1,2,7500,3,3
449,2,9,1984,1,2,-5,-5,-5
450,2,11,1980,1,2,-4,3,1
451,1,9,1983,1,2,11500,1,1
452,2,3,1981,1,2,7500,1,1
453,2,7,1982,1,2,2500,1,1
454,1,8,1982,1,2,-4,3,2
455,1,8,1984,1,2,-4,3,6
456,1,11,1983,1,2,-3100,3,4
457,1,5,1980,1,2,-4,3,2
458,1,6,1982,1,2,-4,3,3
459,2,6,1983,1,2,-3,3,6
460,2,12,1981,1,2,-4,3,4
461,2,3,1983,1,2,2500,1,1
462,2,2,1981,1,2,-4,3,3
463,1,7,1982,1,2,-4,1,4
464,2,11,1981,1,2,-4,3,3
465,2,10,1984,1,2,-4,3,6
466,1,12,1983,1,2,-4,1,8
467,2,9,1984,1,2,-4,3,2
468,2,11,1981,1,2,-4,3,6
469,2,1,1982,1,2,-4,3,4
470,2,2,1981,1,2,-4,3,4
471,1,7,1980,1,2,-4,3,1
472,2,1,1983,1,2,-4,3,1
473,2,3,1982,1,2,13000,1,7
474,2,7,1984,1,2,5000,3,6
475,1,3,1981,1,2,-4,3,7
476,1,7,1982,1,1,-4,3,2
477,2,5,1982,1,2,-4,3,5
478,2,1,1983,1,4,-4,3,3
479,2,8,1982,1,2,-4,3,3
480,2,7,1980,1,2,-4,3,2
481,1,5,1984,1,2,-4,1,3
482,1,7,1983,1,1,15500,3,6
483,1,2,1980,1,2,-4,5,1
484,2,8,1982,1,2,-4,4,2
485,1,7,1982,1,4,-4,3,7
486,2,6,1980,1,4,-4,5,7
487,1,3,1984,1,4,12250,3,2
488,2,1,1982,1,4,-4,3,1
489,2,11,1982,1,4,-4,3,7
490,1,11,1982,1,3,-4,3,2
491,1,9,1984,1,3,-5,-5,-5
492,2,10,1983,1,4,-3,3,7
493,1,9,1981,1,4,-5,-5,-5
494,2,3,1983,1,2,-5,-5,-5
495,1,12,1984,1,2,-5,-5,-5
496,1,7,1984,1,2,-4,3,7
497,2,4,1981,1,3,-4,5,5
498,2,5,1980,1,4,-4,5,4
499,2,8,1982,1,2,-5,-5,-5
500,1,3,1982,1,4,-5,-5,-5
501,1,9,1982,1,4,-5,-5,-5
502,1,9,1983,1,4,-5,-5,-5
503,1,12,1981,1,4,-4,3,1
504,2,7,1984,1,4,-5,-5,-5
505,1,8,1984,1,2,-5,-5,-5
506,1,9,1982,1,4,-5,-5,-5
507,2,8,1984,1,4,-4,3,6
508,1,8,1981,1,2,-4,1,3
509,2,8,1984,1,1,1900,3,5
510,1,5,1980,1,2,-4,3,6
511,1,1,1980,1,2,-4,3,4
512,2,3,1981,1,2,-4,1,4
513,1,5,1982,1,2,-4,1,6
514,2,2,1981,1,2,-5,-5,-5
515,2,3,1983,1,2,1600,3,1
516,1,3,1983,1,2,2500,1,2
517,1,9,1981,1,2,-4,3,2
518,2,11,1983,1,2,2000,1,5
519,2,6,1980,1,2,-4,3,1
520,1,10,1981,1,2,-4,3,1
521,1,7,1983,1,2,5500,1,3
522,1,1,1983,1,2,2500,1,2
523,2,5,1980,1,4,-4,1,3
524,1,8,1981,1,2,-4,3,1
525,1,4,1982,1,2,-4,3,1
526,1,11,1983,1,2,-4,1,1
527,1,12,1981,1,4,-4,3,1
528,2,9,1982,1,4,-4,3,2
529,2,4,1982,1,2,-4,4,1
530,2,9,1982,1,4,-4,3,8
531,2,4,1980,1,2,-5,-5,-5
532,2,1,1983,1,2,-5,-5,-5
533,2,1,1983,1,4,-3,3,2
534,2,11,1981,1,2,-5,-5,-5
535,2,5,1980,1,4,-5,-5,-5
536,1,12,1982,1,2,-3,4,6
537,1,2,1982,1,4,-4,1,1
538,2,8,1983,1,4,9000,1,2
539,1,6,1980,1,2,-4,6,1
540,2,2,1982,1,2,-4,1,1
541,2,2,1982,1,2,-5,-5,-5
542,2,2,1984,1,1,-4,3,2
543,1,10,1983,1,2,9500,3,2
544,1,2,1981,1,4,-4,5,2
545,1,8,1981,1,1,-4,3,1
546,1,6,1980,1,4,-4,5,5
547,1,1,1984,1,4,-4,3,4
548,2,11,1984,1,4,-4,4,7
549,1,12,1981,1,4,-4,2,1
550,1,2,1984,1,4,-4,3,1
551,1,12,1981,1,4,-4,3,7
552,1,11,1981,1,4,-5,-5,-5
553,1,9,1983,1,4,-5,-5,-5
554,1,8,1981,1,4,-5,-5,-5
555,1,3,1984,1,4,-4,3,3
556,2,7,1982,1,4,-4,3,6
557,2,11,1981,1,2,-4,4,4
558,1,2,1982,1,4,-4,3,1
559,2,3,1984,1,4,-4,3,1
560,2,4,1981,1,4,-4,3,3
561,1,3,1984,1,4,-4,1,2
562,2,1,1983,1,2,175000,1,2
563,1,3,1982,1,4,-4,1,1
564,1,8,1983,1,4,-3,3,1
565,1,4,1982,1,2,-4,3,1
566,2,7,1982,1,2,-4,3,5
567,1,3,1980,1,4,-5,-5,-5
568,1,10,1981,1,4,-4,3,1
569,1,4,1981,1,4,-5,-5,-5
570,2,7,1982,1,4,-5,-5,-5
571,1,10,1980,1,4,-4,3,2
572,1,10,1983,1,4,-5,-5,-5
573,2,9,1981,1,2,-4,1,2
574,2,1,1983,1,2,-4,1,1
575,1,12,1981,1,4,-4,3,2
576,1,11,1981,1,4,-4,3,7
577,1,4,1984,1,4,-4,3,7
578,1,12,1982,1,4,-4,3,1
579,2,6,1980,1,4,-4,1,1
580,1,5,1983,1,4,2500,1,2
581,1,4,1982,1,4,-4,1,3
582,2,11,1983,1,4,7500,1,5
583,2,11,1981,1,4,-4,3,1
584,2,12,1981,1,4,-4,3,7
585,2,3,1983,1,4,4100,3,7
586,1,1,1980,1,2,-4,3,1
587,2,1,1983,1,2,4000,3,2
588,1,4,1983,1,4,32500,1,1
589,1,4,1983,1,4,-3,1,2
590,1,9,1983,1,4,-1500,3,1
591,2,12,1982,1,2,-4,3,7
592,2,10,1984,1,2,-4,3,4
593,2,5,1981,1,2,-5,-5,-5
594,2,2,1980,1,1,-4,1,-2
595,2,9,1981,1,1,-4,2,1
596,2,2,1981,1,4,-5,-5,-5
597,2,12,1982,1,4,-5,-5,-5
598,1,4,1981,1,2,-4,5,7
599,2,9,1981,1,2,-4,3,7
600,1,9,1984,1,2,2500,3,2
601,2,5,1980,1,2,-4,1,6
602,2,1,1982,1,2,-4,1,1
603,1,5,1984,1,2,-4,3,5
604,2,3,1981,1,2,-4,3,3
605,2,2,1983,1,2,2500,1,2
606,1,5,1980,1,4,-4,3,1
607,2,5,1982,1,4,-4,1,1
608,1,3,1983,1,4,12400,3,1
609,2,3,1982,1,4,-4,5,2
610,2,10,1981,1,4,-4,3,4
611,1,6,1984,1,4,-4,3,2
612,1,2,1984,1,4,-4,3,5
613,1,11,1983,1,4,-4,3,1
614,2,4,1980,1,2,-4,4,1
615,2,1,1982,1,2,-4,4,6
616,1,4,1984,1,2,-4,3,3
617,2,11,1983,1,2,10530,3,2
618,1,12,1981,1,2,-4,3,4
619,1,5,1983,1,2,5500,3,4
620,1,1,1980,1,2,-5,-5,-5
621,1,6,1980,1,2,-5,-5,-5
622,2,4,1981,1,2,-4,3,6
623,1,5,1982,1,2,-4,3,1
624,2,8,1980,1,2,-4,3,4
625,1,10,1982,1,2,-3,1,1
626,2,9,1982,1,2,-4,3,2
627,1,12,1982,1,4,6700,2,2
628,1,5,1982,1,4,-4,3,2
629,2,10,1984,1,4,-4,3,1
630,1,4,1981,1,4,-4,3,6
631,1,3,1981,1,4,-5,-5,-5
632,2,8,1983,1,4,5500,3,2
633,2,8,1983,1,4,-3,3,1
634,2,10,1980,1,4,-5,-5,-5
635,2,6,1981,1,4,-4,3,1
636,1,12,1982,1,4,-4,3,2
637,2,11,1981,1,2,-5,-5,-5
638,1,1,1984,1,4,-4,3,3
639,2,1,1981,1,4,-4,3,1
640,1,7,1982,1,4,-4,3,3
641,2,9,1980,1,4,-5,-5,-5
642,1,6,1980,1,4,-4,3,1
643,1,3,1982,1,4,-3,3,1
644,1,9,1981,1,4,-5,-5,-5
645,1,1,1983,1,4,-5,-5,-5
646,1,10,1980,1,1,-5,-5,-5
647,1,7,1984,1,4,18000,3,6
648,1,1,1981,1,4,-4,3,3
649,1,6,1982,1,4,-4,3,4
650,2,5,1984,1,4,12250,3,3
651,2,9,1982,1,4,-4,3,6
652,2,12,1983,1,4,138800,1,6
653,1,12,1983,1,4,-4,3,5
654,2,2,1980,1,4,-4,4,2
655,2,1,1981,1,4,-4,3,1
656,1,11,1982,1,2,-4,3,1
657,1,3,1981,1,2,-5,-5,-5
658,2,10,1984,1,2,-4,3,6
659,1,8,1980,1,2,-4,3,1
660,2,7,1982,1,2,-4,1,1
661,1,11,1982,1,2,-5,-5,-5
662,1,8,1980,1,2,-4,2,7
663,1,11,1982,1,2,-4,3,3
664,1,6,1983,1,1,-5075,3,2
665,1,2,1981,1,2,-5,-5,-5
666,2,6,1981,1,4,-4,5,2
667,2,11,1982,1,4,-4,3,2
668,2,3,1984,1,4,-4,3,2
669,1,2,1983,1,1,300,3,1
670,1,2,1980,1,2,-4,3,7
671,1,12,1982,1,2,-4,2,1
672,2,1,1980,1,1,-4,5,6
673,1,11,1982,1,1,-4,3,7
674,2,8,1983,1,1,2500,3,4
675,2,1,1981,1,1,-4,1,6
676,2,9,1984,1,1,3015,3,2
677,2,1,1983,1,1,34500,3,1
678,1,8,1984,1,1,-4,1,2
679,2,6,1982,1,1,-4,2,3
680,1,3,1980,1,1,-4,4,3
681,2,3,1984,1,1,2500,3,2
682,2,9,1980,1,1,-4,3,2
683,1,11,1983,1,1,-3400,3,3
